ATA,DESCRIPCION,TIPO,BARRIO,CP,SENTIDO,CARRILES,LIMITE,COMENTARIO
B93,reina doña germana,residencial,l eixample,46005,1,2,30,calle pequeña
B94,rio tajo,residencial,poblados maritimos,46011,1,1,30,calle pequeña
B61,jose aguirre,residencial,poblados maritimos,46011,1,1,30,calle pequeña
B68,llombay,residencial,l olivereta,46018,2,2,30,calle pequeña
B77,padre porta,residencial,poblados maritimos,46024,1,1,30,calle pequeña
B81,pintor genaro lahuerta,residencial,la saidia,46010,1,1,30,calle pequeña
B80,travesia pescadores,residencial,poblados maritimos,46011,1,1,30,calle pequeña
B86,poeta mas y ros,residencial,algiros,46021,1,1,30,calle pequeña
A113,general gil dolz,residencial,el pla del real,46010,1,2,30,calle pequeña
A114,general urrutia,secundaria,quatre carreres,46006,2,4,30,calle pequeña
A115,general urrutia,secundaria,quatre carreres,46006,2,4,30,calle pequeña
A117,gran via fernando el catolico,primaria,extramuros,46008,2,6,50,calle larga
A200,primado reig,primaria,rascanya,46019,2,7,50,avenida
A201,primado reig,primaria,rascanya,46019,2,7,50,avenida
A205,puerto avenida del,primaria,el pla del real,46021,1,5,50,avenida
A206,puerto avenida del,primaria,el pla del real,46021,1,5,50,avenida
A207,puerto avenida del,primaria,el pla del real,46021,1,5,50,avenida
A208,quart s j montaña,residencial,ciutat vella,46001,1,1,30,calle pequeña
A223,san pio v,primaria,la saidia,46010,1,3,50,calle larga
A225,san vicente,secundaria,jesus,46017,2,4,50,calle larga
A236,sorni,residencial,l eixample,46004,1,2,30,calle pequeña
A243,tomas de villarroya,residencial,jesus,46017,1,1,30,calle pequeña
A245,tres cruces,primaria,l olivereta,46018,2,4,50,avenida
A260,av baleares,primaria,camins al grau,46023,1,4,50,avenida
A30,autopista del saler,salida,quatre carreres,46006,2,5,50,salida
A301,poeta querol,residencial,ciutat vella,46002,1,3,30,calle pequeña
A303,jesus,secundaria,jesus,46017,1,4,50,calle larga
